utc	jobid	name	config	gpus	nodes	gpus_per_node	queue	wall	mem	mbs	ga	seq	steps	tokens_per_step	total_tokens	git_commit	config_sha256	cmdline
2026-09-19T21:40:02Z	1792445	cmix_400M_sandwich_sparse	configs/cmix/cmix_400M_sandwich_sparse.yml	8	2	4	preemptable	24:00	200G	1	16	4096	61035	524288	31999918080	3efc4dab	10f4d9bd025280fd	submit_train.sh cmix_400M_sandwich_sparse configs/cmix/cmix_400M_sandwich_sparse.yml 8 preemptable 24:00 200G 
2026-09-19T22:57:43Z	1793120	abl_D_134M_6G_dense_isototal	configs/iclr_26/ablations/abl_D_134M_6G_dense_isototal.yml	4	1	4	normal	24:00	200G	4	2	4096	122070	131072	15999959040	3efc4dab	c8eb2103245a2204	submit_train.sh abl_D_134M_6G_dense_isototal configs/iclr_26/ablations/abl_D_134M_6G_dense_isototal.yml 4 normal 24:00 200G 
2026-09-19T22:58:13Z	1793179	abl_D_134M_6G_dense_isototal	configs/iclr_26/ablations/abl_D_134M_6G_dense_isototal.yml	4	1	4	normal	24:00	200G	4	4	4096	122070	262144	31999918080	3efc4dab	f1785334c0870870	submit_train.sh abl_D_134M_6G_dense_isototal configs/iclr_26/ablations/abl_D_134M_6G_dense_isototal.yml 4 normal 24:00 200G 
2026-09-20T00:01:23Z	1794345	abl_C_134M_1G1x6E1G_isototal	configs/iclr_26/ablations/abl_C_134M_1G1x6E1G_isototal.yml	4	1	4	normal	24:00	200G	4	4	4096	122070	262144	31999918080	3efc4dab	52ed8e8c717800bc	submit_train.sh abl_C_134M_1G1x6E1G_isototal configs/iclr_26/ablations/abl_C_134M_1G1x6E1G_isototal.yml 4 normal 24:00 200G 
2026-09-20T03:50:17Z	1796722	cmix_400M_sandwich_sparse	configs/cmix/cmix_400M_sandwich_sparse.yml	8	2	4	normal	24:00	160G	1	16	4096	61035	524288	31999918080	4534a608	10f4d9bd025280fd	submit_train.sh cmix_400M_sandwich_sparse configs/cmix/cmix_400M_sandwich_sparse.yml 8 normal 24:00 160G 
2026-09-20T03:50:22Z	1796723	cmix_400M_hybrid_sparse	configs/cmix/cmix_400M_hybrid_sparse.yml	8	2	4	normal	24:00	160G	2	8	4096	61035	524288	31999918080	4534a608	5123b188af86b44f	submit_train.sh cmix_400M_hybrid_sparse configs/cmix/cmix_400M_hybrid_sparse.yml 8 normal 24:00 160G 
2026-09-20T03:50:25Z	1796724	cmix1B_12L_gptDense_32B	configs/cmix/cmix1B_12L_gptDense_32B.yml	8	2	4	normal	24:00	160G	2	8	4096	61035	524288	31999918080	4534a608	1c58bb6f9587f801	submit_train.sh cmix1B_12L_gptDense_32B configs/cmix/cmix1B_12L_gptDense_32B.yml 8 normal 24:00 160G 
2026-09-20T03:50:29Z	1796726	cmix_134M_pure_32B_sparse	configs/cmix/cmix_134M_pure_32B_sparse.yml	8	2	4	preemptable	24:00	96G	2	4	4096	122070	262144	31999918080	4534a608	9f483a0911ed4535	submit_train.sh cmix_134M_pure_32B_sparse configs/cmix/cmix_134M_pure_32B_sparse.yml 8 preemptable 24:00 96G 
2026-09-20T03:55:19Z	1796776	abl_E_134M_6G1x6E_baseEGPT	configs/iclr_26/ablations/abl_E_134M_6G1x6E_baseEGPT.yml	4	1	4	preemptable	24:00	96G	4	4	4096	122070	262144	31999918080	4534a608	832d04da068d4a7d	submit_train.sh abl_E_134M_6G1x6E_baseEGPT configs/iclr_26/ablations/abl_E_134M_6G1x6E_baseEGPT.yml 4 preemptable 24:00 96G 
2026-09-20T04:24:54Z	1796831	abl_B_400M_6G1x6S	configs/iclr_26/ablations/abl_B_400M_6G1x6S.yml	8	2	4	preemptable	24:00	160G	2	8	4096	61035	524288	31999918080	4534a608	34387b92570cfbfd	submit_train.sh abl_B_400M_6G1x6S configs/iclr_26/ablations/abl_B_400M_6G1x6S.yml 8 preemptable 24:00 160G 
2026-09-20T04:39:44Z	1797744	abl_E_134M_6G1x6E_baseEGPT	configs/iclr_26/ablations/abl_E_134M_6G1x6E_baseEGPT.yml	4	1	4	preemptable	24:00	96G	4	4	4096	122070	262144	31999918080	d263ec22	832d04da068d4a7d	submit_train.sh abl_E_134M_6G1x6E_baseEGPT configs/iclr_26/ablations/abl_E_134M_6G1x6E_baseEGPT.yml 4 preemptable 24:00 96G 
2026-09-20T05:55:38Z	1798089	abl_I_134M_w1w2_sparse_surr_projUncon	configs/iclr_26/ablations/abl_I_134M_w1w2_sparse_surr_projUncon.yml	4	1	4	preemptable	24:00	96G	4	4	4096	122070	262144	31999918080	3a98dfd0	87e996700785ebcf	submit_train.sh abl_I_134M_w1w2_sparse_surr_projUncon configs/iclr_26/ablations/abl_I_134M_w1w2_sparse_surr_projUncon.yml 4 preemptable 24:00 96G 
